admin_id|officer_name|role|department|key_functions|official_contact|source_doc
LUS-ADM-001|Vacant / Active Desk|Constituency Development Local Governance Integrated Development Planning Public health and Environmental protection Housing and Community Amenities Recreation Culture and Religion Education and skills development Public order and safety Management and support Services Resource Mobilisation and Management District Health servcies Transport Services Agricultural Services Fisheries and Livestock Social Protection and Community Development|Planning Department|Municipal management for the Planning Department.|info@lusangazicouncil.gov.zm|doc_1.pdf
LUS-ADM-002|Mr. Mabvuto Masiye Council Secretary|Mr. Mabvuto Masiye Council Secretary|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_5.pdf
LUS-ADM-003|Public Relations|Public Relations|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_19.pdf
LUS-ADM-004|Vacant / Active Desk|Public Relations / Planning|Planning Department|Municipal management for the Planning Department.|info@lusangazicouncil.gov.zm|doc_23.pdf
LUS-ADM-005|WDC Chairperson|WDC Chairperson|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_55.pdf
LUS-ADM-006|Mateyo Mzeka|WDC Chairperson|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_55.pdf
LUS-ADM-007|Chilele Chitambo|Planner|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_55.pdf
LUS-ADM-008|Lusangazi T. C.|Ag. Director Planning|Planning Department|Municipal management for the Planning Department.|info@lusangazicouncil.gov.zm|doc_55.pdf
LUS-ADM-009|Lusangazi T. C.|Socio-economic Planner|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_55.pdf
LUS-ADM-010|Lusangazi T. C.|Council Secretary|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_55.pdf
LUS-ADM-011|Lusangazi T. C.|Ag. Socio-economic Planner|General Administration|Municipal management for the General Administration.|info@lusangazicouncil.gov.zm|doc_55.pdf
