document_id|document_title|category|year|source_url|content_hash|duplicate_urls
DOC-LUS-001|Output Based Annual Budget|Constituency Development Fund (CDF) & Community Projects|2016|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2026/03/Approved-OBB-budget-Lusangazi-Town-council-2026.pdf|5249b74e92a574d4334c9c5726c17a56|
DOC-LUS-002|Minutes For Stake Holiders Meeting Held On Wednesday 301|Constituency Development Fund (CDF) & Community Projects|2024|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/STAKEHOLDER-ENGAGEMENT-MINUTES-SANDWE-CHIEFDOM.pdf|94bcb728f78f3483efda222f2efbcee3|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/STAKEHOLDERS-MEETING-MINUTES-FOR-2025-BUDGET.pdf
DOC-LUS-003|Lusangazi Town Council|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Community-stakeholder-engagement-minutes-in-Sandwe-chiefdom-for-2025.pdf|82bc4f8f32b91893fdd599f64dce6c19|
DOC-LUS-004|Technical Committee On Amendments To The Constitution Of Zambia, 2025|Council Administration, Acts & Policies|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/10/Submissions-Guide-27.10.25.pdf|63a3744f2cfbfed1a0c0c91dd14e7818|
DOC-LUS-005|Mr .Mabvuto Masiye|Annual Budgets & Financial Statements|2022|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/CLTS-NEWSLETTER-2023.pdf|7eb75d934386ec8adbe05b17c5b7eb0f|
DOC-LUS-006|2024 Community Projects Prioritised By Respectives Wdcs|Constituency Development Fund (CDF) & Community Projects|2024|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/2024-COMMUNITY-PROJECTS-PRIORITISED-BY-RESPECTIVES-WDCS.pdf|0c4783a7748c5bf45323697aa7dee806|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/2024-COMMUNITY-PROJECTS-PRIORITISED-BY-RESPECTIVES-WDCS.pdf
DOC-LUS-007|The Liquor Licensing Act, 2011|Council Administration, Acts & Policies|2011|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/Liqour-Licensing-Act-2011.pdf|11c5b1c24422d4ff8ac6d5be616b3401|
DOC-LUS-008|The Urban and Regional Planning|Constituency Development Fund (CDF) & Community Projects|2015|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Urban-and-Regional-Planning-Act-2015.pdf|f2a1ff66f13f5e8a36cf1fdcea3a9143|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/The-Urban-and-Regional-Planning-Act-No-3-of-2015.pdf
DOC-LUS-009|Lusangazi Town Council|Constituency Development Fund (CDF) & Community Projects|2024|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Community-stakeholder-engagement-minutes-for-2024.pdf|f142ebbdad691449772835173b9a1326|
DOC-LUS-010|Cdf Loan Application Form|Constituency Development Fund (CDF) & Community Projects|2023|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/LOAN-EMPOWERMENT-APPLICATION-FORM-FINAL-202_12_2022.pdf|12c58241e5559b4f3cf136fb171df387|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/LOAN-EMPOWERMENT-APPLICATION-FORM-FINAL-202_12_2022.pdf
DOC-LUS-011|Lusangazi Town Council|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Business-Stakeholder-Engagement-minutes-for-2025.pdf|fe13ea53dc89c3aeeaf9c022577a8b6d|
DOC-LUS-012|Lead Story Headline|Constituency Development Fund (CDF) & Community Projects|2022|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/05/CDF-2ND-EDITION-NEWS-LETTER.pdf|9615077397cb4ea9d2576198bd4e0061|
DOC-LUS-013|Appendix A. Types Of Projects For Funding|Constituency Development Fund (CDF) & Community Projects|2023|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/01/CDF-APPLICATION-FORMS-2022.pdf|60adf12cd8a77ac9d252d8fba1d88d7e|
DOC-LUS-014|The Constituency Development Fund|Constituency Development Fund (CDF) & Community Projects|2018|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/The-Constituency-Development-Fund-Act-No.-11-of-2018.pdf|e7838b3e3eb3918c654768473a9c848d|
DOC-LUS-015|3.0 Approaches and methods of engagement ............................................................................. 5|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Citizen-Engagement-Strategy-for-Lusangazi-District.pdf|963106a6746cd7ee8a6e25edc7cdd608|
DOC-LUS-016|Institutions implementing skills for youth empowerment programme|Constituency Development Fund (CDF) & Community Projects|2023|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/05/1647006602-1.pdf|0463dc72474da43b94aa4398185e345d|
DOC-LUS-017|Lusangazi Town Council|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Community-stakeholder-engagement-minutes-in-Nyamphande-chiefdom-for-2025.pdf|41c64675e33fbf98e399ac4310a291c7|
DOC-LUS-018|Lusangazi Town Council|Constituency Development Fund (CDF) & Community Projects|2025|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/12/Annual-Stakeholder-Engagement-Plan-for-Lusangazi-District.pdf|52a1ba19eee1598ece0293961f86b85b|
DOC-LUS-019|Skills Development Bursary Application Form|Constituency Development Fund (CDF) & Community Projects|2023|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/SKILLS-DEVELOPMENT-BURSARY-APPLICATION-FORM-1.pdf|99e055a3fc0181a6c5709c9aff502041|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/12/SKILLS-DEVELOPMENT-BURSARY-APPLICATION-FORM-1.pdf
DOC-LUS-020|Minister of Local Government and Rural Development, Hon. Garry Nkhombo disbursed the funds to the clubs|Constituency Development Fund (CDF) & Community Projects|2021|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2023/11/MSANZALA-CONSTITUENCY-CDF-NEWSLETTER.pdf|e48ee93cc5cef2f8d0365ec23ba1d7e0|
