financial_id|council_name|financial_year|category_code|description|amount|revenue_or_expenditure|revenue_stream|source_doc
LUS-FIN-001|Lusangazi Town Council|2016||Personal levy|10410.0|Revenue|Local Taxes / Rates|doc_1.pdf
LUS-FIN-002|Lusangazi Town Council|2016||Survey fees|64152.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-003|Lusangazi Town Council|2016||Plan scrutiny fee|1750.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-004|Lusangazi Town Council|2016||Rentals/lease of Council’s properties|202954.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-005|Lusangazi Town Council|2016||Non-Land Application forms fees|81561.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-006|Lusangazi Town Council|2016||Sketch plan|14580.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-007|Lusangazi Town Council|2016||Notice board advert fees|1213.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-008|Lusangazi Town Council|2016||Market fees|23328.0|Revenue|Market Fees|doc_1.pdf
LUS-FIN-009|Lusangazi Town Council|2016||Affidavit fees|8165.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-010|Lusangazi Town Council|2016||Hire of halls|13997.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-011|Lusangazi Town Council|2016||Hire of plant and equipment|676512.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-012|Lusangazi Town Council|2016||Notice of marriage fees|1458.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-013|Lusangazi Town Council|2016||Abattoir/meat inspection fees|583.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-014|Lusangazi Town Council|2016||Registration of clubs and societies|47822.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-015|Lusangazi Town Council|2016||Farm produce Fee|174960.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-016|Lusangazi Town Council|2016||Penalties|57737.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-017|Lusangazi Town Council|2016||Telecommunication site rentals|75816.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-018|Lusangazi Town Council|2016||Other fees and charges|180792.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-019|Lusangazi Town Council|2016||Liquor licence|8970.0|Revenue|Licences & Permits|doc_1.pdf
LUS-FIN-020|Lusangazi Town Council|2016||Firearm and ammunition licence|20995.0|Revenue|Licences & Permits|doc_1.pdf
LUS-FIN-021|Lusangazi Town Council|2016||Other Licences|1458.0|Revenue|Licences & Permits|doc_1.pdf
LUS-FIN-022|Lusangazi Town Council|2016||Livestock Movement levy|12451.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-023|Lusangazi Town Council|2016||Birds levy|117.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-024|Lusangazi Town Council|2016||Charcoal levy|3499.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-025|Lusangazi Town Council|2016||Sand levy|1225.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-026|Lusangazi Town Council|2016||Quarry levy|17496.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-027|Lusangazi Town Council|2016||Bicycle levy|36787.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-028|Lusangazi Town Council|2016||Other levies|11139.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-029|Lusangazi Town Council|2016||Health permits|40824.0|Revenue|Licences & Permits|doc_1.pdf
LUS-FIN-030|Lusangazi Town Council|2016||Herbalist permit|5832.0|Revenue|Licences & Permits|doc_1.pdf
LUS-FIN-031|Lusangazi Town Council|2016||Transportation of opaque beer|34992.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-032|Lusangazi Town Council|2016||Fire certificate|35785.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-033|Lusangazi Town Council|2016||Extension of Business hours permits|4666.0|Revenue|Licences & Permits|doc_1.pdf
LUS-FIN-034|Lusangazi Town Council|2016||Social gathering permit|1750.0|Revenue|Licences & Permits|doc_1.pdf
LUS-FIN-035|Lusangazi Town Council|2016||Service Charges Residential plots|233280.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-036|Lusangazi Town Council|2016||Service Charges Industrial plots|46656.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-037|Lusangazi Town Council|2016||Premium Plot- Residential|274104.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-038|Lusangazi Town Council|2016||Premium Plot Commercial|34992.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-039|Lusangazi Town Council|2016||Land Charges|58320.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-040|Lusangazi Town Council|2016||Other Income|2064528.0|Revenue|Other / Unclassified|doc_1.pdf
LUS-FIN-041|Lusangazi Town Council|2016||Constituency Development Fund|46693966.0|Revenue|CDF Grant|doc_1.pdf
LUS-FIN-042|Lusangazi Town Council|2016||Roads Grant|7408238.0|Revenue|Other Central Transfers|doc_1.pdf
LUS-FIN-043|Lusangazi Town Council|2016||Health Grant|2366335.0|Revenue|Other Central Transfers|doc_1.pdf
LUS-FIN-044|Lusangazi Town Council|2016||Local Government Equalisation Fund|12482533.0|Revenue|LGEF / Equalisation Fund|doc_1.pdf
LUS-FIN-045|Lusangazi Town Council|2016||Grants in lieu of Rates|466560.0|Revenue|Other Central Transfers|doc_1.pdf
LUS-FIN-046|Lusangazi Town Council|2016||Other Grants|30157261.0|Revenue|Other Central Transfers|doc_1.pdf
LUS-FIN-047|Lusangazi Town Council|2016||Constituency Development Local Governance Integrated Development Planning Public health and Environmental protection Housing and Community Amenities Recreation Culture and Religion Education and skills development Public order and safety Management and support Services Resource Mobilisation and Management District Health servcies Transport Services Agricultural Services Fisheries and Livestock Social Protection and Community Development|30635642.0|Revenue|CDF Grant|doc_1.pdf
LUS-FIN-048|Lusangazi Town Council|2016||- - - - - - -|1802908.0|Expenditure||doc_1.pdf
LUS-FIN-049|Lusangazi Town Council|2016||Community Projects Implemented 01 Number of Solar Water borehole constructed 02 Number of Desks procured 03 Number of Kilometer roads graded 04 Number of maternity suite constructed 05 Number of boreholes rehabilitated 06 Number of classroom blocks rehabilitated 07 Number of classroom blocks constructed 08 Number of Health-Posts constructed|600.0|Revenue|Other / Unclassified|doc_1.pdf
