project_id|project_name|ward|sector|amount|allocation_zmw|disbursement_zmw|usage_zmw|status|year|source_doc
LUS-CDF-001|Drilling of borehole at Masosi village|Chingolo Ward|Water & Sanitation|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-002|Construction of two staff houses at Haugen primary|Chisangu Ward|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-003|Day Secondary School|Singozi Ward|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-004|Construction of a clinic at Mudonsa|Mudonsa Ward|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-005|Construction of a clinic at Chizalira|Mawanda Ward|Health|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-006|Construction of 1x3 classroom block Zanje (chinkhombe )|Chikowa Ward|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-007|Drilling of borehole at mzaleka village|Chingolo Ward|Water & Sanitation|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-008|Construction of a health post clinic at Chiwa zone|District-wide|Health|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-009|Construction of a 1x3 classroom block for early childhood education at Ray school|District-wide|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-010|Construction of 1x3 classroom block at chiwa school|District-wide|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-011|Drilling of borehole at Jere village (chiwa)|District-wide|Water & Sanitation|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-012|Drilling of a borehole at Chiwa Katonda area (Chiwa)|District-wide|Water & Sanitation|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-013|Drilling of a borehole at chiwa kafufuma area (Chiwa)|District-wide|Water & Sanitation|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-014|Drilling of borehole at chiwa chifunitla area (Chiwa)|District-wide|Water & Sanitation|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-015|Drilling of borehole at masomphenya (Chiwa)|District-wide|Water & Sanitation|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-016|Grading of 50km road at chilongozi to Sandwe road|District-wide|Transport & Infrastructure|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-017|Construction of a health post at lumbuka|District-wide|Health|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-018|Construction of maternity annex at Sandwe|District-wide|Health|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-019|Construction of a maternity annex and a staff house at chiwale|District-wide|Health|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-020|Construction of two staff houses at Chioteta Primary school|District-wide|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-021|Construction of two teachers houses at mangolo primary school|District-wide|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
LUS-CDF-022|Construction of two teachers houses at mwanika primary School|District-wide|Education|0.0|0.0|0.0|0.0|Proposed|2024|doc_4.pdf
