filename|url|page_count|alpha_chars|unique_words|quarantined|reason|quarantined_path|suggested_action|high_value
doc_41.pdf|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/Unmodified-opinion-.pdf|3|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_41.pdf|OCR required (image-only scan)|True
doc_44.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/01/UNMODIFIED-OPINION-2023.pdf|3|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_44.pdf|OCR required (image-only scan)|True
doc_39.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/2024-INDEPENDENT-AUDIT-OPINION.pdf|4|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_39.pdf|OCR required (image-only scan)|True
doc_34.pdf|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/2024-Budget-Stake-holders-meeting-.pdf|5|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_34.pdf|OCR required (image-only scan)|True
doc_35.pdf|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-for-2020.pdf|31|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_35.pdf|OCR required (image-only scan)|True
doc_72.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/BI-ANNUAL-FINANCIAL-STATEMENT-2025.pdf|32|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_72.pdf|OCR required (image-only scan)|True
doc_25.pdf|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-for-2021.pdf|35|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_25.pdf|OCR required (image-only scan)|True
doc_67.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/Financial-Statement-2022.pdf|36|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_67.pdf|OCR required (image-only scan)|True
doc_33.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/01/FINANCIAL-STATEMENT-20232.pdf|37|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_33.pdf|OCR required (image-only scan)|True
doc_53.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/2024-SIGNED-FINANCIAL-STATEMENT.pdf|38|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_53.pdf|OCR required (image-only scan)|True
doc_43.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/08/Job-Advert-Data-entry-and-Office-assistant-.pdf|2|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_43.pdf|OCR required (image-only scan)|False
doc_59.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/EXTRACT-FROM-COUNCIL-MINUTES-FOR-THE-PROPOSED-COMMUNITY-HALL.pdf|2|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_59.pdf|OCR required (image-only scan)|False
doc_57.pdf|https://www.lusangazicouncil.gov.zm/wp-content/uploads/2024/09/Conveyance-of-notification-of-approved-community-projects.pdf|2|0|0|True|empty text (no text layer at all)|scanned_pdfs_quarantine\doc_57.pdf|OCR required (image-only scan)|False
doc_52.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/08/Job-Advert-General-Workers.pdf|2|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_52.pdf|OCR required (image-only scan)|False
doc_70.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/05/MAKE-ZAMBIA-CLEAN-NOTICE-.pdf|2|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_70.pdf|OCR required (image-only scan)|False
doc_27.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/07/JOB-ADVERTISEMENTS-MOBILE-VOTER-REGISTRATION.pdf|7|0|0|True|empty text (no text layer at all)|scanned_pdfs_quarantine\doc_27.pdf|OCR required (image-only scan)|False
doc_16.pdf|http://www.lusangazicouncil.gov.zm/wp-content/uploads/2025/11/STAKEHOLDER-ENGAGEMENT-MINUTES-NYAMPHANDE-CHIEFDOM.pdf|12|0|0|True|only 0 real alpha chars|scanned_pdfs_quarantine\doc_16.pdf|OCR required (image-only scan)|False
